"Notes"	"Month"	"Month Code"	"County"	"County Code"	Avg Daily Max Air Temperature (F)	Record Count for Daily Max Air Temp (F)	Min Temp for Daily Max Air Temp (F)	Max Temp for Daily Max Air Temp (F)	Avg Daily Min Air Temperature (F)	Record Count for Daily Min Air Temp (F)	Min Temp for Daily Min Air Temp (F)	Max Temp for Daily Min Air Temp (F)	Avg Daily Max Heat Index (F)	Record Count for Daily Max Heat Index (F)	Min for Daily Max Heat Index (F)	Max for Daily Max Heat Index (F)	Daily Max Heat Index (F) % Coverage
	"Jan"	"1"	"Crawford County, IL"	"17033"	35.31	7161	-4.10	69.40	22.13	7161	-19.80	57.50	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Cumberland County, IL"	"17035"	34.30	8184	-6.40	69.00	21.15	8184	-22.60	56.30	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"DeKalb County, IL"	"17037"	26.34	12276	-12.40	62.60	13.61	12276	-26.40	43.40	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"De Witt County, IL"	"17039"	31.14	7161	-12.50	66.90	17.97	7161	-28.10	49.90	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Douglas County, IL"	"17041"	32.55	8184	-10.80	68.20	19.43	8184	-25.20	53.50	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"DuPage County, IL"	"17043"	27.21	6138	-11.70	62.70	14.85	6138	-27.70	44.00	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Edgar County, IL"	"17045"	32.72	12276	-10.80	68.40	19.53	12276	-24.60	54.00	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Edwards County, IL"	"17047"	37.32	3069	-1.40	70.50	23.77	3069	-16.60	58.00	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Effingham County, IL"	"17049"	35.03	8184	-5.70	69.30	21.84	8184	-21.50	58.40	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Fayette County, IL"	"17051"	35.07	13299	-5.40	69.70	21.67	13299	-21.50	57.60	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Ford County, IL"	"17053"	29.77	10230	-13.70	65.70	17.11	10230	-27.20	51.60	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Franklin County, IL"	"17055"	38.51	6138	-1.10	71.10	24.41	6138	-18.30	59.80	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Fulton County, IL"	"17057"	30.59	16368	-11.70	67.20	17.27	16368	-29.40	49.50	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Gallatin County, IL"	"17059"	39.50	4092	-0.40	71.90	25.41	4092	-16.60	60.80	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Greene County, IL"	"17061"	34.29	10230	-6.40	70.20	20.50	10230	-22.20	54.40	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Grundy County, IL"	"17063"	28.77	9207	-11.60	64.70	16.17	9207	-28.00	46.00	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Hamilton County, IL"	"17065"	38.46	9207	-1.20	71.70	24.43	9207	-18.30	60.20	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Hancock County, IL"	"17067"	30.75	13299	-10.70	67.80	16.83	13299	-28.00	47.40	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Hardin County, IL"	"17069"	39.77	2046	-0.30	71.70	25.54	2046	-15.90	60.50	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Henderson County, IL"	"17071"	29.28	10230	-11.00	65.00	15.43	10230	-30.00	44.60	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Henry County, IL"	"17073"	27.40	16368	-11.20	63.10	13.93	16368	-35.30	41.20	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Iroquois County, IL"	"17075"	29.67	20460	-13.40	65.40	16.82	20460	-26.90	50.20	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Jackson County, IL"	"17077"	38.89	12276	0.20	71.30	24.46	12276	-17.20	59.40	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Jasper County, IL"	"17079"	35.41	6138	-4.10	69.30	22.38	6138	-18.50	57.60	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Jefferson County, IL"	"17081"	37.43	9207	-1.20	70.60	23.72	9207	-18.50	59.10	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Jersey County, IL"	"17083"	35.29	7161	-3.90	70.20	21.44	7161	-20.90	56.00	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Jo Daviess County, IL"	"17085"	24.34	10230	-13.20	55.10	10.81	10230	-31.70	36.30	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Johnson County, IL"	"17087"	39.63	5115	0.10	72.00	25.67	5115	-17.30	59.60	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Kane County, IL"	"17089"	26.55	9207	-12.50	62.60	13.89	9207	-25.80	43.40	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Kankakee County, IL"	"17091"	29.00	12276	-12.70	65.00	16.24	12276	-26.70	49.60	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Kendall County, IL"	"17093"	27.58	6138	-11.60	63.60	14.86	6138	-27.10	45.20	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Knox County, IL"	"17095"	28.84	12276	-11.30	65.10	15.50	12276	-31.70	45.60	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Lake County, IL"	"17097"	26.45	11253	-13.50	61.10	14.33	11253	-28.10	42.70	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"LaSalle County, IL"	"17099"	28.38	18414	-11.80	65.10	15.88	18414	-29.10	46.40	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Lawrence County, IL"	"17101"	36.62	6138	-2.10	70.10	23.14	6138	-17.70	56.50	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Lee County, IL"	"17103"	26.57	10230	-12.00	61.70	13.97	10230	-34.80	42.00	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Livingston County, IL"	"17105"	29.22	18414	-13.50	65.40	16.44	18414	-28.50	51.90	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Logan County, IL"	"17107"	31.44	14322	-12.00	67.70	18.25	14322	-30.30	51.70	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"McDonough County, IL"	"17109"	30.58	9207	-11.10	67.40	17.02	9207	-28.20	48.20	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"McHenry County, IL"	"17111"	25.42	12276	-14.70	60.30	12.24	12276	-29.60	41.60	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"McLean County, IL"	"17113"	29.91	21483	-13.70	66.30	17.27	21483	-30.50	53.40	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Macon County, IL"	"17115"	31.97	8184	-10.70	67.80	18.82	8184	-27.00	52.30	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Macoupin County, IL"	"17117"	34.25	12276	-5.40	69.60	20.60	12276	-22.80	55.00	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Madison County, IL"	"17119"	36.04	14322	-2.50	70.50	22.37	14322	-19.00	57.60	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Marion County, IL"	"17121"	36.39	9207	-2.30	69.90	22.97	9207	-18.40	58.80	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Marshall County, IL"	"17123"	29.01	9207	-11.80	65.00	16.23	9207	-29.80	46.20	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Mason County, IL"	"17125"	31.61	11253	-11.40	67.80	18.44	11253	-28.10	50.50	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Massac County, IL"	"17127"	40.98	5115	1.50	73.50	26.35	5115	-14.70	60.40	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Menard County, IL"	"17129"	32.13	5115	-10.50	67.80	18.93	5115	-25.70	51.00	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Mercer County, IL"	"17131"	27.85	10230	-10.40	63.50	14.28	10230	-33.60	40.20	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Monroe County, IL"	"17133"	37.79	7161	1.10	71.00	23.33	7161	-15.80	58.40	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Montgomery County, IL"	"17135"	34.18	15345	-5.90	69.00	20.72	15345	-23.70	55.40	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Morgan County, IL"	"17137"	32.82	11253	-10.10	69.50	19.22	11253	-24.90	52.80	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Moultrie County, IL"	"17139"	32.88	5115	-8.40	68.30	19.74	5115	-25.00	53.40	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Ogle County, IL"	"17141"	25.30	17391	-12.30	60.30	12.16	17391	-34.50	41.00	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Peoria County, IL"	"17143"	29.31	12276	-11.50	66.10	16.23	12276	-31.90	48.00	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Perry County, IL"	"17145"	37.93	8184	0.00	70.60	23.40	8184	-17.70	58.60	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Piatt County, IL"	"17147"	31.61	7161	-12.80	67.80	18.41	7161	-29.00	52.40	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Pike County, IL"	"17149"	33.10	15345	-8.60	70.50	19.22	15345	-24.60	53.10	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Pope County, IL"	"17151"	39.86	7161	-0.20	72.80	25.35	7161	-16.40	60.10	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Pulaski County, IL"	"17153"	40.73	4092	2.20	72.60	26.20	4092	-14.60	59.80	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Putnam County, IL"	"17155"	28.67	4092	-10.90	63.80	16.01	4092	-29.50	43.90	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Randolph County, IL"	"17157"	38.49	10230	0.60	71.30	23.95	10230	-16.80	59.00	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Richland County, IL"	"17159"	36.18	6138	-2.90	69.80	22.91	6138	-17.70	57.00	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Rock Island County, IL"	"17161"	27.07	7161	-9.90	61.40	13.61	7161	-35.10	38.60	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"St. Clair County, IL"	"17163"	37.07	9207	-0.70	70.70	22.98	9207	-16.60	58.40	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Saline County, IL"	"17165"	39.20	6138	-0.60	71.70	25.05	6138	-17.30	60.30	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Sangamon County, IL"	"17167"	32.92	16368	-9.50	68.60	19.69	16368	-25.10	53.00	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Schuyler County, IL"	"17169"	31.64	7161	-10.90	68.30	18.06	7161	-26.60	50.60	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Scott County, IL"	"17171"	33.18	5115	-8.40	69.50	19.42	5115	-23.70	52.60	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Shelby County, IL"	"17173"	33.50	11253	-7.40	68.70	20.27	11253	-24.20	54.90	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Stark County, IL"	"17175"	28.21	5115	-11.30	63.80	15.07	5115	-32.20	42.60	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Stephenson County, IL"	"17177"	24.39	8184	-13.50	54.60	10.84	8184	-31.80	38.70	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Tazewell County, IL"	"17179"	30.30	10230	-12.00	66.60	17.27	10230	-30.90	48.70	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Union County, IL"	"17181"	39.53	8184	0.10	72.00	25.25	8184	-17.40	59.70	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Vermilion County, IL"	"17183"	31.33	19437	-13.40	67.80	18.30	19437	-26.60	52.60	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Wabash County, IL"	"17185"	37.40	6138	-1.30	70.60	23.94	6138	-16.60	58.30	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Warren County, IL"	"17187"	29.08	8184	-11.20	65.40	15.42	8184	-31.10	46.00	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Washington County, IL"	"17189"	37.35	9207	-0.30	70.40	23.06	9207	-18.00	58.70	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Wayne County, IL"	"17191"	37.40	15345	-1.70	71.00	23.68	15345	-18.60	59.10	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"White County, IL"	"17193"	38.56	9207	-1.40	71.70	24.65	9207	-17.40	60.30	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Whiteside County, IL"	"17195"	26.38	10230	-10.70	59.10	12.84	10230	-37.60	38.80	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Will County, IL"	"17197"	28.28	18414	-12.40	64.50	15.58	18414	-27.80	46.20	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Williamson County, IL"	"17199"	39.18	6138	-0.20	71.20	25.55	6138	-17.40	60.00	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Winnebago County, IL"	"17201"	25.03	7161	-13.20	55.10	11.56	7161	-28.60	39.40	Missing	0	Missing	Missing	0.00%
	"Jan"	"1"	"Woodford County, IL"	"17203"	29.32	8184	-12.40	65.50	16.28	8184	-30.70	47.60	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Adams County, IL"	"17001"	37.36	17708	-4.50	72.70	22.40	17708	-27.20	52.00	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Alexander County, IL"	"17003"	46.21	5592	2.70	76.00	30.25	5592	-9.90	60.50	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Bond County, IL"	"17005"	41.01	5592	-0.20	73.30	25.81	5592	-21.50	56.50	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Boone County, IL"	"17007"	29.78	5592	-15.90	68.90	16.69	5592	-33.30	45.60	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Brown County, IL"	"17009"	37.79	4660	-3.80	73.00	22.95	4660	-26.60	52.70	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Bureau County, IL"	"17011"	32.83	16776	-13.30	72.20	19.38	16776	-26.90	48.80	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Calhoun County, IL"	"17013"	40.37	3728	-1.80	73.60	24.84	3728	-24.30	54.40	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Carroll County, IL"	"17015"	30.19	9320	-15.90	69.80	16.52	9320	-32.00	46.90	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Cass County, IL"	"17017"	37.99	6524	-3.90	73.20	23.32	6524	-25.90	53.00	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Champaign County, IL"	"17019"	35.90	15844	-6.00	73.40	21.82	15844	-26.50	51.50	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Christian County, IL"	"17021"	38.74	10252	-4.40	73.30	24.11	10252	-25.00	55.40	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Clark County, IL"	"17023"	39.01	9320	-3.00	73.50	24.33	9320	-21.20	54.20	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Clay County, IL"	"17025"	41.52	7456	-0.70	73.40	26.61	7456	-13.60	56.60	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Clinton County, IL"	"17027"	41.99	9320	0.60	74.80	26.54	9320	-18.60	56.60	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Coles County, IL"	"17029"	38.21	7456	-3.90	73.20	23.69	7456	-24.10	53.10	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Cook County, IL"	"17031"	32.00	13980	-13.10	71.30	19.25	13980	-25.90	50.80	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Crawford County, IL"	"17033"	40.30	6524	-1.50	73.30	25.53	6524	-16.50	54.60	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Cumberland County, IL"	"17035"	39.37	7456	-3.20	73.20	24.75	7456	-23.50	54.40	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"DeKalb County, IL"	"17037"	31.17	11184	-14.70	70.50	18.42	11184	-29.90	47.90	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"De Witt County, IL"	"17039"	36.42	6524	-6.20	73.20	22.38	6524	-24.30	50.70	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Douglas County, IL"	"17041"	37.56	7456	-4.30	73.30	23.18	7456	-23.30	52.10	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"DuPage County, IL"	"17043"	31.63	5592	-12.70	70.20	18.75	5592	-25.70	49.80	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Edgar County, IL"	"17045"	37.54	11184	-3.90	73.40	23.05	11184	-23.70	52.40	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Edwards County, IL"	"17047"	42.43	2796	0.40	73.20	26.87	2796	-10.40	54.30	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Effingham County, IL"	"17049"	40.17	7456	-2.60	73.20	25.38	7456	-23.00	55.40	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Fayette County, IL"	"17051"	40.31	12116	-2.30	73.10	25.28	12116	-23.80	56.40	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Ford County, IL"	"17053"	34.28	9320	-10.00	73.30	20.98	9320	-25.20	52.30	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Franklin County, IL"	"17055"	43.50	5592	2.30	74.40	27.94	5592	-16.00	57.60	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Fulton County, IL"	"17057"	35.90	14912	-8.30	72.80	21.55	14912	-27.80	51.90	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Gallatin County, IL"	"17059"	44.24	3728	3.20	74.70	28.56	3728	-10.60	60.20	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Greene County, IL"	"17061"	39.74	9320	-2.20	73.30	24.60	9320	-24.70	54.80	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Grundy County, IL"	"17063"	33.49	8388	-11.30	73.40	20.31	8388	-23.00	50.40	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Hamilton County, IL"	"17065"	43.39	8388	2.00	74.20	27.77	8388	-13.50	59.80	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Hancock County, IL"	"17067"	35.96	12116	-7.20	71.60	21.21	12116	-28.70	51.10	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Hardin County, IL"	"17069"	44.50	1864	3.10	74.80	28.79	1864	-9.90	59.80	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Henderson County, IL"	"17071"	34.29	9320	-9.50	71.00	19.85	9320	-28.80	50.20	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Henry County, IL"	"17073"	32.51	14912	-13.80	71.20	18.61	14912	-28.90	48.90	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Iroquois County, IL"	"17075"	34.07	18640	-9.70	73.50	20.51	18640	-24.30	50.70	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Jackson County, IL"	"17077"	43.94	11184	2.30	75.10	28.02	11184	-17.00	56.80	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Jasper County, IL"	"17079"	40.52	5592	-1.80	73.10	25.83	5592	-13.00	55.00	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Jefferson County, IL"	"17081"	42.46	8388	1.10	74.40	27.34	8388	-16.80	57.20	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Jersey County, IL"	"17083"	40.68	6524	-1.50	73.40	25.38	6524	-23.20	55.70	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Jo Daviess County, IL"	"17085"	29.36	9320	-16.70	67.60	15.98	9320	-32.70	46.90	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Johnson County, IL"	"17087"	44.62	4660	2.10	74.80	29.33	4660	-9.40	58.40	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Kane County, IL"	"17089"	31.20	8388	-14.30	70.20	18.48	8388	-29.20	48.10	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Kankakee County, IL"	"17091"	33.35	11184	-10.20	73.30	19.99	11184	-23.40	50.50	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Kendall County, IL"	"17093"	32.33	5592	-12.40	72.10	19.19	5592	-25.90	49.90	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Knox County, IL"	"17095"	33.92	11184	-10.20	72.20	19.90	11184	-27.40	50.70	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Lake County, IL"	"17097"	30.34	10252	-14.30	67.70	18.26	10252	-28.20	49.00	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"LaSalle County, IL"	"17099"	33.42	16776	-12.80	73.20	20.33	16776	-26.60	49.20	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Lawrence County, IL"	"17101"	41.78	5592	-0.10	73.40	26.33	5592	-12.10	53.40	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Lee County, IL"	"17103"	31.73	9320	-14.50	70.40	18.82	9320	-30.40	48.40	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Livingston County, IL"	"17105"	33.78	16776	-10.20	73.60	20.56	16776	-21.80	51.60	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Logan County, IL"	"17107"	36.76	13048	-7.60	73.40	22.60	13048	-25.30	51.40	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"McDonough County, IL"	"17109"	35.89	8388	-6.90	71.70	21.36	8388	-28.40	51.40	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"McHenry County, IL"	"17111"	29.72	11184	-16.00	68.80	16.86	11184	-33.80	47.20	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"McLean County, IL"	"17113"	34.76	19572	-9.90	73.10	21.51	19572	-24.00	52.70	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Macon County, IL"	"17115"	37.39	7456	-5.50	73.30	23.14	7456	-24.00	53.00	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Macoupin County, IL"	"17117"	39.72	11184	-2.30	72.50	24.67	11184	-25.10	55.40	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Madison County, IL"	"17119"	41.40	13048	-0.70	74.20	26.14	13048	-22.00	56.80	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Marion County, IL"	"17121"	41.54	8388	-0.10	73.30	26.57	8388	-15.20	56.80	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Marshall County, IL"	"17123"	34.14	8388	-11.00	73.10	20.64	8388	-24.10	50.20	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Mason County, IL"	"17125"	37.08	10252	-6.70	73.30	22.69	10252	-25.40	52.70	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Massac County, IL"	"17127"	45.99	4660	3.30	75.70	30.05	4660	-7.10	60.80	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Menard County, IL"	"17129"	37.75	4660	-4.70	73.10	23.17	4660	-25.40	52.30	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Mercer County, IL"	"17131"	32.93	9320	-12.40	70.80	18.89	9320	-27.60	49.00	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Monroe County, IL"	"17133"	42.96	6524	1.70	75.80	27.02	6524	-15.50	56.00	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Montgomery County, IL"	"17135"	39.56	13980	-3.00	72.80	24.64	13980	-25.30	56.10	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Morgan County, IL"	"17137"	38.45	10252	-3.50	73.40	23.63	10252	-26.00	53.40	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Moultrie County, IL"	"17139"	38.21	4660	-4.40	73.20	23.78	4660	-23.90	52.70	Missing	0	Missing	Missing	0.00%
	"Feb"	"2"	"Ogle County, IL"	"17141"	30.22	15844	-16.00	69.50	17.17	15844	-32.30	46.50	Missing	0	Missing	Missing	0.00%
